D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\center_2020_09_06_20_04_58_789.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\left_2020_09_06_20_04_58_789.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\right_2020_09_06_20_04_58_789.jpg,0,0,0,2.604475E-05
D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\center_2020_09_06_20_04_58_860.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\left_2020_09_06_20_04_58_860.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\right_2020_09_06_20_04_58_860.jpg,0,0,0,9.24586E-06
D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\center_2020_09_06_20_04_58_928.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\left_2020_09_06_20_04_58_928.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\right_2020_09_06_20_04_58_928.jpg,0,0,0,1.018012E-05
D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\center_2020_09_06_20_04_58_999.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\left_2020_09_06_20_04_58_999.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\right_2020_09_06_20_04_58_999.jpg,0,0,0,2.610826E-05
D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\center_2020_09_06_20_04_59_067.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\left_2020_09_06_20_04_59_067.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\right_2020_09_06_20_04_59_067.jpg,0,0,0,1.968787E-06
D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\center_2020_09_06_20_04_59_138.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\left_2020_09_06_20_04_59_138.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\right_2020_09_06_20_04_59_138.jpg,0,0,0,1.975946E-05
D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\center_2020_09_06_20_04_59_209.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\left_2020_09_06_20_04_59_209.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\right_2020_09_06_20_04_59_209.jpg,0,0,0,3.384029E-06
D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\center_2020_09_06_20_04_59_279.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\left_2020_09_06_20_04_59_279.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\right_2020_09_06_20_04_59_279.jpg,0,0,0,3.241783E-06
D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\center_2020_09_06_20_04_59_347.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\left_2020_09_06_20_04_59_347.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\right_2020_09_06_20_04_59_347.jpg,0,0,0,2.530146E-06
D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\center_2020_09_06_20_04_59_418.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\left_2020_09_06_20_04_59_418.jpg,D:\GitHub\Self-Driving-Car\beta_simulator_windows\Data\IMG\right_2020_09_06_20_04_59_418.jpg,0,0,0,2.529534E-06
